Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
GSEC10IETF.NS,XNSE:GSEC10IETF,ICICIPRAMC-ICICI10GS,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GSEC10YEAR.NS,XNSE:GSEC10YEAR,MIRAEAMC-MAGS813ETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCBSE500.NS,XNSE:HDFCBSE500,HDFCAMC-HDFCBSE500,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCGOLD.NS,XNSE:HDFCGOLD,HDFCGoldETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCLIQUID.NS,XNSE:HDFCLIQUID,HDFCAMC-HDFCLIQUID,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCLOWVOL.NS,XNSE:HDFCLOWVOL,HDFCAMC-HDFCLOWVOL,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCMID150.NS,XNSE:HDFCMID150,HDFCAMC-HDFCMID150,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCMOMENT.NS,XNSE:HDFCMOMENT,HDFCAMC-HDFCMOMENT,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCNEXT50.NS,XNSE:HDFCNEXT50,HDFCAMC-HDFCNEXT50,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCNIF100.NS,XNSE:HDFCNIF100,HDFCAMC-HDFCNIF100,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCNIFBAN.NS,XNSE:HDFCNIFBAN,HDFCAMC-HDFCNIFBAN,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCNIFIT.NS,XNSE:HDFCNIFIT,HDFCAMC-HDFCNIFIT,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCPSUBK.NS,XNSE:HDFCPSUBK,HDFCAMCHDFCPSUBK,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,United Kingdom,Broad Market; Equity; Plain; United Kingdom
HDFCPVTBAN.NS,XNSE:HDFCPVTBAN,HDFCAMC-HDFCPVTBAN,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCQUAL.NS,XNSE:HDFCQUAL,HDFCAMC-HDFCQUAL,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
